date,bank,ticker,price_move_pct,volume_ratio,event_type,event_detail,days_to_event
2023-04-14,JP Morgan,JPM,7.55,2.62,Earnings Announcement,Q1 2023 Earnings,0
2023-08-15,JP Morgan,JPM,-2.55,1.2,No event in window,N/A,N/A
2023-10-13,JP Morgan,JPM,1.5,3.08,Earnings Announcement,Q3 2023 Earnings,0
2023-10-27,JP Morgan,JPM,-3.6,1.55,No event in window,N/A,N/A
2024-01-12,JP Morgan,JPM,-0.73,1.89,Earnings Announcement,Q4 2023 Earnings,0
2024-04-12,JP Morgan,JPM,-6.47,3.16,Earnings Announcement,Q1 2024 Earnings,0
2024-05-20,JP Morgan,JPM,-4.5,2.07,No event in window,N/A,N/A
2024-08-02,JP Morgan,JPM,-4.24,1.85,No event in window,N/A,N/A
2024-10-11,JP Morgan,JPM,4.44,2.02,Earnings Announcement,Q3 2024 Earnings,0
2024-11-06,JP Morgan,JPM,11.54,2.8,No event in window,N/A,N/A
2024-11-07,JP Morgan,JPM,-4.32,1.83,No event in window,N/A,N/A
2024-11-08,JP Morgan,JPM,0.25,1.11,No event in window,N/A,N/A
2024-11-11,JP Morgan,JPM,0.97,1.05,No event in window,N/A,N/A
2024-11-12,JP Morgan,JPM,0.11,0.81,No event in window,N/A,N/A
2023-04-18,Goldman Sachs,GS,-1.7,3.38,Earnings Announcement,Q1 2023 Earnings,0
2023-10-03,Goldman Sachs,GS,-3.89,1.75,No event in window,N/A,N/A
2023-11-03,Goldman Sachs,GS,4.42,1.55,No event in window,N/A,N/A
2024-02-13,Goldman Sachs,GS,-3.54,1.22,No event in window,N/A,N/A
2024-03-21,Goldman Sachs,GS,4.35,1.95,No event in window,N/A,N/A
2024-04-15,Goldman Sachs,GS,2.92,2.74,Earnings Announcement,Q1 2024 Earnings,0
2024-08-02,Goldman Sachs,GS,-5.89,2.16,No event in window,N/A,N/A
2024-08-05,Goldman Sachs,GS,-2.47,1.43,No event in window,N/A,N/A
2024-08-08,Goldman Sachs,GS,2.7,0.68,No event in window,N/A,N/A
2024-11-06,Goldman Sachs,GS,13.1,3.55,No event in window,N/A,N/A
2024-11-07,Goldman Sachs,GS,-2.32,1.84,No event in window,N/A,N/A
2024-11-08,Goldman Sachs,GS,1.22,1.11,No event in window,N/A,N/A
2024-11-11,Goldman Sachs,GS,2.22,1.02,No event in window,N/A,N/A
2024-11-12,Goldman Sachs,GS,-1.62,1.02,No event in window,N/A,N/A
2023-02-15,Barclays,BARC.L,-7.86,3.14,Earnings Announcement,FY 2022 Results,0
2023-03-13,Barclays,BARC.L,-6.31,2.2,No event in window,N/A,N/A
2023-03-15,Barclays,BARC.L,-9.09,2.24,No event in window,N/A,N/A
2023-03-16,Barclays,BARC.L,2.99,2.2,No event in window,N/A,N/A
2023-03-17,Barclays,BARC.L,-1.98,1.9,No event in window,N/A,N/A
2023-03-20,Barclays,BARC.L,-2.29,1.81,No event in window,N/A,N/A
2023-03-21,Barclays,BARC.L,4.97,1.25,No event in window,N/A,N/A
2023-03-24,Barclays,BARC.L,-4.21,1.39,No event in window,N/A,N/A
2023-07-19,Barclays,BARC.L,3.07,2.87,No event in window,N/A,N/A
2023-07-27,Barclays,BARC.L,-5.28,2.46,No event in window,N/A,N/A
2023-10-24,Barclays,BARC.L,-6.53,2.36,Earnings Announcement,Q3 2023 Results,1
2023-12-05,Barclays,BARC.L,-2.46,2.72,No event in window,N/A,N/A
2023-12-06,Barclays,BARC.L,0.56,5.4,No event in window,N/A,N/A
2023-12-14,Barclays,BARC.L,6.32,2.65,No event in window,N/A,N/A
2024-02-20,Barclays,BARC.L,8.59,2.89,Earnings Announcement,FY 2023 Results,0
2024-08-01,Barclays,BARC.L,-4.66,1.53,No event in window,N/A,N/A
2024-08-02,Barclays,BARC.L,-6.19,1.71,No event in window,N/A,N/A
2024-11-06,Barclays,BARC.L,5.41,1.99,No event in window,N/A,N/A
2023-02-21,HSBC,HSBA.L,4.32,2.57,Earnings Announcement,FY 2022 Results,0
2023-03-10,HSBC,HSBA.L,-4.59,1.24,No event in window,N/A,N/A
2023-03-13,HSBC,HSBA.L,-4.13,1.36,No event in window,N/A,N/A
2023-03-15,HSBC,HSBA.L,-4.96,0.96,No event in window,N/A,N/A
2023-03-23,HSBC,HSBA.L,-2.9,2.29,No event in window,N/A,N/A
2023-08-03,HSBC,HSBA.L,0.36,4.96,No event in window,N/A,N/A
2023-10-20,HSBC,HSBA.L,-3.95,1.24,No event in window,N/A,N/A
2023-10-30,HSBC,HSBA.L,-2.28,4.59,Earnings Announcement,Q3 2023 Results,0
2024-02-21,HSBC,HSBA.L,-8.39,2.47,Earnings Announcement,FY 2023 Results,0
2024-02-22,HSBC,HSBA.L,0.12,2.01,No event in window,N/A,N/A
2024-02-26,HSBC,HSBA.L,-0.25,2.12,No event in window,N/A,N/A
2024-04-30,HSBC,HSBA.L,4.12,1.32,Earnings Announcement,Q1 2024 Results,0
2024-06-21,HSBC,HSBA.L,-1.91,3.69,No event in window,N/A,N/A
2024-07-31,HSBC,HSBA.L,4.0,2.35,Earnings Announcement,H1 2024 Results,0
2024-08-01,HSBC,HSBA.L,-6.46,1.33,No event in window,N/A,N/A
2024-08-02,HSBC,HSBA.L,-3.37,2.33,No event in window,N/A,N/A
2024-08-05,HSBC,HSBA.L,-1.65,1.52,No event in window,N/A,N/A
2024-10-08,HSBC,HSBA.L,-4.2,0.83,No event in window,N/A,N/A
2023-03-21,Morgan Stanley,MS,3.64,0.99,No event in window,N/A,N/A
2023-10-18,Morgan Stanley,MS,-6.78,4.11,Earnings Announcement,Q3 2023 Earnings,0
2023-10-19,Morgan Stanley,MS,-2.62,1.95,No event in window,N/A,N/A
2024-02-13,Morgan Stanley,MS,-3.34,1.23,No event in window,N/A,N/A
2024-04-11,Morgan Stanley,MS,-5.25,3.09,Earnings Announcement,Q1 2024 Earnings,5
2024-04-16,Morgan Stanley,MS,2.47,2.23,Earnings Announcement,Q1 2024 Earnings,0
2024-08-02,Morgan Stanley,MS,-5.81,1.38,No event in window,N/A,N/A
2024-08-05,Morgan Stanley,MS,-3.94,1.16,No event in window,N/A,N/A
2024-10-16,Morgan Stanley,MS,6.5,3.39,Earnings Announcement,Q3 2024 Earnings,0
2024-11-06,Morgan Stanley,MS,11.61,3.0,No event in window,N/A,N/A
2024-11-07,Morgan Stanley,MS,-2.32,1.0,No event in window,N/A,N/A
2024-11-08,Morgan Stanley,MS,0.85,0.89,No event in window,N/A,N/A
2024-11-11,Morgan Stanley,MS,3.08,0.88,No event in window,N/A,N/A
2024-11-12,Morgan Stanley,MS,-0.91,0.74,No event in window,N/A,N/A
